date_name,
"Sep 20 -  Oct 8, 2020",
"Oct 5 - Oct 22, 2020",
"Oct 25 - Nov 15, 2020",
"Nov 9 - Nov 29, 2020",
"Nov 23 - Dec 12, 2020",
"Feb 1 - Feb 21, 2021",
"Feb 15 -  Mar 7, 2021",
"Mar 1 - Mar 21, 2021",
"Mar 15 -  Apr 4, 2021",
"Mar 29 - Apr 18, 2021",
"Apr 12 -  May 2, 2021",
"Apr 26 - May 16, 2021",
"May 10 - May 30, 2021",
"May 24 - Jun 13, 2021",
"Jun 7 - Jun 27, 2021",
"Jun 21 - Jul 11, 2021",
"Sep 6 -  Oct 3, 2021",
"Oct 4 - Oct 31, 2021",
"Nov 1 - Nov 28, 2021",
"Nov 29 - Dec 26, 2021",
"Dec 27, 2021 - Jan 29, 2022",
"Jan 27 - Feb 26, 2022",